1	영화가 끝나고 자인이 드디어 보통의 삶을 영위하게 되었다는 에필로그 자막을 보고도 안도할 수가 없었다. 수많은 어린 자인들이 한 줄기 희망조차 없는 삶 속에서 자인을 낳고, 그 자인은 커서 또 자인을 낳고 그렇게 비극이 반복된다는 현실을 알고 있기 때문에. . 대안 없는 누군가의 삶을 눈으로 연민하고 있는 내가 밉고 고통스러웠다.
2	유토피아의 전제는 디스토피아에 대한 무관심
3	79년 당시 관객들이 느꼈을 공포를 45년이 지난 지금 다시 느끼게 되다
4	연기잘한다 돈많이 썻겠다
5	굿바이 빙봉
6	걱정도, 문제도 많았던 00년대였지만, 그래도 끝까지 버텨내길 잘했다. 그렇지?
7	He did it
8	'좋은 구경했다'는 정도지 '좋은 영화'인가에 대한 질문은 물음표. 사실 아이맥스를 굳이 고집해야 할 이유도 없음. 우주신은 생각보다 덜 인상적이고 한스짐머 음악도 진부함
9	차태현 배우의 코메디는 최고. 근데 키스신은 싫었다.
10	서로 다르기 때문에 보이는 새로운 아름다움.
11	타짜느낌이 나는구만
12	괸 물에서 계속 놀면 괴물이 될 것 같아. 난 흐를래
13	용두망미. 용으로 시작해서 이무기로 끝나다. 듄2는 후반부 확장판이 필요하다
14	(S) 소리를 들으면 보이는 것들을 완벽하게 구현해낸 경이적 체험
15	영화 전체를 관통하는 스포일러!! 1분1초까지 스포일러하는 후기. 너무 좋아서 영화관에서 볼펜과 포스트잇을 찾아 신나게 적었다. - 맨처음에 감독이 나와 "숨도 쉬지말고 생각도 하지말고 방구도 뀌지 마세요"란 말 할 때 2시간동안??하고 놀랐는데 다 보고 나니 정말 그랬다. 이 영화는 처음부터 끝까지 일분일초를 계획했고 떡밥이 많은 영화니까 이 장면을 당장 판단하지말고(하지만 이건 정말 멈출
16	인간이 끊임없이 희구하는 마음들을 모두 담아내면.
17	사랑은 야수도 미남으로 보이게 한다 어린시절 향수를 불러일으키는걸로 만족🙄
18	나오미 스콧이 너무 예뻐서 한동안 계속 찾아볼듯.. 쟈스민의 Speachless가 귀에서 떠나지 않는다. 겨울 왕국 부터였나.. 그전에 라푼젤부터였나 디즈니 영화에서 남자 캐릭터는 점점 들러리에 가까운 느낌이 강한데 알라딘 역시 어느샌가 쟈스민이 극을 이끌어 나가고 있는데 전혀 어색함이 없다.
